BX = 000 Event : 1
BX = 001 Event : 2
BX = 001 Event : 98
0x00 0001001|0011110 0x049E
0x01 0001001|0100000 0x04A0
0x02 0001001|0100001 0x04A1
0x03 0001010|0011110 0x051E
0x04 0001010|0100000 0x0520
0x05 0001010|0100001 0x0521
BX = 010 Event : 99
0x00 0001010|0001111 0x050F
0x01 0001011|0001111 0x058F
0x02 0001101|0101101 0x06AD
0x03 0001101|0101111 0x06AF
0x04 0001111|0000110 0x0786
0x05 0010101|0101000 0x0AA8
0x06 0010110|0101000 0x0B28
BX = 011 Event : 100
