BX = 000 Event : 1
0x07 0100110|0110100 0x1334
BX = 110 Event : 79
0x00 0001101|0001111 0x068F
0x01 0001110|0001111 0x070F
BX = 111 Event : 80
0x00 0111010|1011000 0x1D58
0x01 0111110|1011000 0x1F58
0x02 1001010|1100001 0x2561
0x03 1010101|1101000 0x2AE8
BX = 000 Event : 81
0x00 0010110|0100001 0x0B21
0x01 0010110|0100010 0x0B22
0x02 0101100|0101110 0x162E
0x03 0110011|0110100 0x19B4
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0110111|1000011 0x1BC3
0x01 0111011|1000011 0x1DC3
0x02 1000000|0111110 0x203E
0x03 1000010|0111110 0x213E
0x04 1000011|0111101 0x21BD
BX = 100 Event : 85
0x00 0100001|0100110 0x10A6
0x01 0100001|0101000 0x10A8
0x02 0100011|0101010 0x11AA
0x03 0100011|0101100 0x11AC
0x04 0100100|0101010 0x122A
0x05 0110111|1010000 0x1BD0
0x06 0111100|0110110 0x1E36
0x07 0111100|1000111 0x1E47
0x08 0111101|1001110 0x1ECE
0x09 0111101|1011001 0x1ED9
0x0a 0111101|1011010 0x1EDA
0x0b 0111110|1001110 0x1F4E
0x0c 0111110|1011001 0x1F59
0x0d 0111110|1011010 0x1F5A
0x0e 1000010|1001110 0x214E
0x0f 1000010|1011001 0x2159
0x10 1000010|1011010 0x215A
0x11 1000011|1001110 0x21CE
0x12 1000011|1011001 0x21D9
0x13 1000011|1011010 0x21DA
0x14 1000110|1001110 0x234E
0x15 1001001|1010000 0x24D0
0x16 1001010|1010001 0x2551
0x17 1001010|1010100 0x2554
BX = 101 Event : 86
0x00 0010110|0100101 0x0B25
0x01 0100110|0111101 0x133D
0x02 0100111|0111101 0x13BD
0x03 0101011|0111101 0x15BD
BX = 110 Event : 87
0x00 0101110|0110000 0x1730
0x01 0101110|0110001 0x1731
BX = 111 Event : 88
0x00 0001111|0011000 0x0798
0x01 0100001|1000001 0x10C1
0x02 0100001|1000010 0x10C2
BX = 000 Event : 89
BX = 001 Event : 90
0x00 0011011|0010110 0x0D96
0x01 0011011|0011111 0x0D9F
0x02 0011011|0011110 0x0D9E
BX = 010 Event : 91
0x00 0001011|0010111 0x0597
0x01 0010000|0010111 0x0817
0x02 0010001|0011001 0x0899
0x03 0010001|0011010 0x089A
0x04 0010011|0011001 0x0999
0x05 0010011|0011010 0x099A
0x06 0100001|0101000 0x10A8
0x07 0100011|0101000 0x11A8
0x08 0100101|0101000 0x12A8
0x09 0101101|0111000 0x16B8
0x0a 0110100|0111000 0x1A38
0x0b 0110100|1000011 0x1A43
BX = 011 Event : 92
0x00 0001111|0001111 0x078F
0x01 0100010|0111010 0x113A
0x02 0100010|0111011 0x113B
BX = 100 Event : 93
0x00 0000101|0011010 0x029A
0x01 0110000|1000001 0x1841
0x02 0110000|1000101 0x1845
BX = 101 Event : 94
0x00 0010000|0010000 0x0810
0x01 0010000|0010101 0x0815
0x02 0010000|0010011 0x0813
BX = 110 Event : 95
0x00 0011101|0011001 0x0E99
0x01 0011101|0011110 0x0E9E
0x02 0100101|0101000 0x12A8
0x03 0101110|0111010 0x173A
0x04 1000110|1001001 0x2349
BX = 111 Event : 96
0x00 0001010|0011011 0x051B
0x01 0001110|0010110 0x0716
0x02 0001110|0011000 0x0718
0x03 0011011|0100000 0x0DA0
0x04 0011011|0100001 0x0DA1
0x05 0011100|0100000 0x0E20
0x06 0011100|0100001 0x0E21
BX = 000 Event : 97
0x00 0000101|0010011 0x0293
0x01 0001111|0100011 0x07A3
0x02 0001111|0100111 0x07A7
0x03 0011101|0111001 0x0EB9
0x04 0011101|0111010 0x0EBA
0x05 0011110|0111001 0x0F39
0x06 0011110|0111010 0x0F3A
0x07 0100000|0111001 0x1039
0x08 0100000|0111010 0x103A
BX = 001 Event : 98
0x00 0110101|0101010 0x1AAA
0x01 0110110|0101100 0x1B2C
0x02 0111000|0110100 0x1C34
BX = 010 Event : 99
0x00 0011100|0011001 0x0E19
0x01 0110100|1001000 0x1A48
0x02 0110100|1010001 0x1A51
0x03 0110100|1001111 0x1A4F
0x04 0110111|1001000 0x1BC8
0x05 0110111|1010001 0x1BD1
0x06 0110111|1001111 0x1BCF
0x07 1001001|1010111 0x24D7
0x08 1001001|1011000 0x24D8
0x09 1001010|1011001 0x2559
0x0a 1010001|1011111 0x28DF
0x0b 1011001|1011111 0x2CDF
BX = 011 Event : 100
0x00 0001100|0001111 0x060F
0x01 0001100|0011100 0x061C
0x02 0001100|0011101 0x061D
0x03 0001101|0001111 0x068F
0x04 0001101|0011100 0x069C
0x05 0001101|0011101 0x069D
0x06 0010101|0011100 0x0A9C
0x07 0011001|0100100 0x0CA4
0x08 0011010|0100100 0x0D24
0x09 0011011|0100100 0x0DA4
